idx,0.05,0.10,0.15,0.20,0.25,0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95,1.00,1.05,1.10,1.15,1.20,1.25,1.30,1.35,1.40,1.45,1.50,1.55,1.60,1.65,1.70,1.75,1.80,1.85,1.90,1.95,2.00
1,1.7882,1.7882,1.366,1.3798,1.3662,1.3673,1.346,1.4336,1.6959,1.2704,1.0501,1.3966,1.641,1.6936,4.2849,4.0189,3.9542,2.2029,2.0989,2.2752,1.3884,1.4716,1.6784,1.6029,1.7415,1.963,2.1218,2.0998,2.0808,1.9344,1.9761,1.9971,2.0469,1.904,1.8878,1.8829,1.754,1.7698,1.8015,1.7941
2,1.2155,1.2155,2.4845,2.4845,2.4838,2.4836,2.502,2.4817,2.5332,2.4717,2.2326,2.4427,2.3321,2.1267,1.7055,1.6114,1.5541,1.3839,1.5022,1.0961,1.0364,0.9192,0.6785,0.8693,0.8641,1.0052,0.9292,1.008,0.9111,0.7337,0.7135,0.7073,0.6852,0.6849,0.7796,0.7851,0.8188,0.8723,0.9245,0.9647
3,0.949,0.949,0.9652,0.9652,0.9779,0.9809,0.9099,0.8059,0.7588,0.7997,0.7354,0.7798,0.9933,0.8993,0.8066,0.1918,0.466,0.6159,0.627,0.5054,0.2298,0.1008,0.2347,0.2157,0.3718,0.347,0.4732,0.5193,0.5196,0.7378,0.8106,0.7262,0.9565,1.1359,1.9419,1.7336,2.7947,1.1753,1.1965,1.2633
4,3.3458,3.3458,1.3801,1.3801,1.3801,1.3546,2.5468,1.414,1.9973,6.1815,5.4247,2.0903,2.5867,2.2982,1.9268,1.7187,0.8847,2.0099,1.4355,2.0178,2.4263,2.474,2.1955,2.3652,2.5054,2.4548,2.7237,2.7704,2.516,2.3048,1.3086,0.3732,1.9932,1.7312,1.0186,1.7706,1.8058,2.0456,2.0295,1.9791
5,7.6222,7.6222,7.7412,7.7412,7.742,7.7611,7.8335,7.7965,7.743,7.8498,7.8544,7.8534,7.8647,7.851,7.9167,7.9193,7.969,8.009,8.064,8.074,7.9881,7.9334,7.9186,7.9943,8.0126,7.957,8.0194,7.994,7.95,7.915,7.9849,8.0203,8.0276,7.997,7.7952,7.7641,7.6878,7.7218,7.7106,7.7427
6,3.4996,3.4996,3.8505,3.8505,3.8507,3.8743,3.9002,3.9515,3.9854,3.8755,4.0167,4.0891,3.9354,3.7758,3.9995,3.6988,3.2918,3.704,3.7944,4.2677,4.0221,4.0527,3.7841,3.8911,3.8801,3.8642,4.0171,4.0203,4.3834,4.2939,4.2472,4.2239,4.1378,4.057,3.8539,3.7355,3.9068,3.9229,3.9141,4.0441
7,2.7576,2.7576,3.0371,3.0371,3.0372,3.4125,2.967,2.8714,3.8502,4.4755,5.4521,5.1476,5.1657,5.5545,4.6564,4.4409,4.6718,4.5105,4.5771,4.2269,4.2835,4.3306,4.1329,4.3039,4.2025,4.4684,4.5788,4.4366,4.5268,4.2143,4.2043,4.2951,4.3894,4.6144,4.7942,4.9342,5.0526,5.107,5.0158,5.078
8,5.2123,5.2123,8.9327,8.9327,8.9328,8.9223,8.7513,8.5609,8.4478,8.5011,8.5641,8.8961,8.8686,6.5461,5.4843,5.3475,5.2627,5.2867,5.0963,4.8564,4.5997,4.4852,4.4836,4.5323,4.4535,4.4098,4.351,4.475,4.3728,4.3536,4.2796,4.1289,3.8934,3.8541,3.6247,3.0741,2.8221,2.1218,2.2878,3.1373
9,1.3923,1.3923,1.3101,1.3101,1.3101,1.356,1.3802,1.393,1.3375,1.2581,1.2332,1.258,1.3244,1.292,1.4789,1.4253,1.2985,1.2336,1.2485,1.29,1.2183,1.2102,1.1748,1.1905,1.1348,1.1614,1.2017,1.1678,1.0835,1.0611,1.2347,1.3252,1.5857,2.1022,2.6969,4.0414,4.5174,6.033,7.1016,8.0906
